shop_name,shop_type,girl_name,girl_url,age,report_url,evaluations,cityheaven_url
Premier,ソープランド,ゆる,https://www.cityheaven.net/gifu/A2101/A210101/premier/girlid-55408564/,24,https://m.fuzoku-tokai.com/2025/01/08/post-15277/,"{'顔: 75.0': '丸顔で童顔なので、可愛い感じロリが好きな人にはいいかもほっぺにあざあり', 'スタイル: 80': '少し小柄だが中肉中背でくびれもあり抱き心地は良かった。', 'カップ: Ｄカップ': 'HPでのサイズ寄りは小さく感じたが乳首はきれいで大きさも程よい感じだった。', 'パネル差: 50': 'HPの写真に近い感じHPではわからないがほっぺにあざのようなものがある', 'プレイ: 50': 'ベットで1回戦目、その後マットも楽しめて2回戦なかなか発射しない中、一生懸命対応して導いてくれました。', '総合: 80': '童顔で可愛い感じで、スタイルも痩せすぎず太りすぎずちょうどいい感じの肉付きで、はない方もも含め対応が申し分なくプレイも十分楽しめた。', 'リピート: 返す（リピートする）': '一生懸命な対応で、時間内で十分楽しめた。'}",https://www.cityheaven.net/gifu/A2101/A210101/premier/girlid-55408564/
ViVi,ソープランド,さや,https://www.o-ren-group.com/kanazuen/vivi/castid-5000637401/,28,https://m.fuzoku-tokai.com/2025/10/13/post-15713/,"{'顔: 85.0': 'よく笑う子で印象良し。性格はかわいいが、顔はきれいより。', 'スタイル: 90': '肌がすべすべしているので抱き心地がいい。痩せている。プレイ中は征服感があり興奮した。', 'カップ: Ａカップ': '胸は小さい。乳輪は小さいがプレイ中は乳首の主張が激しくなるので興奮する。', 'パネル差: 50': '写真で顔出ししていない。綺麗な子。', 'プレイ: 80': 'キスはしてくれるがディープキスはイマイチ。フェラ普通。テクは期待してたほどではなかった。健気が売りか。懸命に腰を振る姿が良く最初は腰を振らせていたが私も興奮してしまい押し倒して腰を振りまくった。', '総合: 80': '綺麗系だが性格はかわいい。痩せ型が好きならおすすめ。私は満足した。本当はキスが嫌なのかもしれない。私相手だけかもしれないが。ディープキスがうまければ文句なく100点だった。', 'リピート: 返す（リピートする）': '丁寧な接客。清潔感のある身体。薄い身体。性格込みでSっ気のある私の好みだったから。'}",https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-25733003/
ViVi,ソープランド,カオル,https://www.o-ren-group.com/kanazuen/vivi/castid-5002989301/,28,https://m.fuzoku-tokai.com/2025/06/10/post-15489/,"{'顔: 90.0': '人により好みはあるにせよ可愛いと思います。顔はふっくらした印象ですが太っているわけではないです。目鼻立ちがはっきりしていて、目元はハーフっぽい印象も受ける。', 'スタイル: 90': 'とても背が高いです。とはいえ筋肉質とかではなくモチモチした感じ。太っているわけではない。痩せ型でもない。ちょうど良い抱き心地。', 'カップ: Ｆカップ': 'とにかく美乳です。柔らかさや形もよい。背が高いことがコンプレックスなのか、すこし猫背で肩を丸めるクセがありますが、背筋伸ばして胸を張ると相当美乳が映えると思う。ずっと触っていたい。', 'パネル差: 50': 'ネットでは写真掲載なし。お店のパネルは見たことないので顔のパネマジは判定不能。体型は写真通りです。', 'プレイ: 50': 'プレイの内容は普通ですが、大人しくておっとりした雰囲気でありながら、一生懸命してくれるので嬉しい。性格も優しくて、何でも言うことを聞いてくれそうな感じがします。無茶なお願いはしたことはないけど。ただ、情熱的に貪り合うようなプレイではなく、そのような雰囲気になりそうなところで妙にブレーキをかけられているような気がします。', '総合: 50': 'ずっと前にフリーで入って、おっとり癒し系の雰囲気と美巨乳に魅了されてしまいました。その後出勤が多くないこともあり、なかなか入らなかったのですが、わずかな空き枠を狙って入ることができました。美巨乳は健在。スタイルもビジュアルもすごく良い。…にもかかわらず、彼女とのプレイになるとこちらが何となく不発気味。プレイに不満はないし、一生懸命やってくれるし、抱き心地はいいし、最高のはずなのに、勃ちが悪い。これは完全に私自身の問題ですね。すごく良い子だし、スタイルなども高身長が苦手でさえなければ最高なので、ぜひ彼女の良さを多くの人に知ってほしい。', 'リピート: 返す（リピートする）': 'とにかく癒される。'}",https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-32764202/
ViVi,ソープランド,みりあ,https://www.o-ren-group.com/kanazuen/vivi/castid-5006615401/,28,https://m.fuzoku-tokai.com/2025/05/10/post-15437/,"{'顔: 100.0': '記述の通り、筧美和子みたいな顔立ちで、ハーフっぽい美人なお姉さんという感じでした。', 'スタイル: 80': '太っているという先客の記述がありましたが、自分が入ったときはそんな容姿ではありませんでした。しかし、最近痩せたという話は聞きました。', 'カップ: Ｆカップ': 'かなり豊満な胸をしておられましたが、ハリはあんまりありませんでした。クーパー靭帯が切れているような、ちょっとシワがかった印象を受けました。', 'パネル差: 10': '髪色が違う程度。写真にはモザイクが掛かっているのでそもそも判別できないです。', 'プレイ: 90': 'ほとんど彼女主導で動いていただきました。かなり情熱的なプレイをされていた印象を受けました。3回とも密着して騎乗位の体勢で動いていただきましたが、背中の汗がすごかったです。', '総合: 90': '顔もきれいでプレイも積極的で、お世辞かどうかわかりませんが、自分のものとの相性が良いと褒めてくれたりしたので、かなり満足しました。お胸のほうがもう少し揉みごたえがあったら100点ですが、贅沢すぎますね。', 'リピート: 返す（リピートする）': '積極的なところが個人的に良かったため。'}",https://www.cityheaven.net/tokyo/A1305/A130505/maruno_uchi/girlid-61746053/
ViVi,ソープランド,るか,https://www.o-ren-group.com/kanazuen/vivi/castid-5001486101/,24,https://m.fuzoku-tokai.com/2024/09/07/post-15051/,"{'顔: 80.0': '結構AVに出ているのでいくつか見たのですがあまり可愛くないなと思っていたので入るのを後回しにしていたのですが、実際に会ってみるとなかなかの美人さんで良い意味で驚きでした。もっと早く入れば良かった。', 'スタイル: 100': 'まあとにかくスタイルは抜群ですね。油断してたら太るけど、ジムなどに行って体型を維持している、という感じで抱き心地最高です。肌も綺麗なのですが２か所ほどワンポイントのタトゥー有り。', 'カップ: Ｇカップ': '流石オッパイ部門でヘブンランキング1位を取ってるだけあってなかなか他では見られない美巨乳です。騎乗位の眺めは圧巻でした。', 'パネル差: 10': '写メ日記から受ける印象とは違って予想外に綺麗なお顔でした。逆パネマジですね、もったいないですね。', 'プレイ: 100': 'とてもエロくて常にイチャイチャモードでした。DKやハグを積極的にしてくれるし、足をこちらの膝の上に置いて密着してくるし、フェラ中もオッパイを触れる体勢でしてくれるし、バックから突いてるときも自分から身体を起こしてキスしてくるし、もう終始エロエロでした。あと、るかちゃんからほっぺをすりすりしたり、髪の毛を触らせたりしてくれたのもびっくりでしたね。首から上は触られるのを嫌がるものなんですけどね。結構高級店の人気嬢に入ってますが、ここまでエロくてサービスの良い子はなかなかいないですね。ホント幸せな2時間でした。', '総合: 100': '高級店との違いは速速ではないことと、G有りくらいでしょうか。ずっとNNのお店に行ってますが、さほど変わらない感じですね。しかもるかちゃんは口でGを着けてくれるのが良いですね。速速が無いのはやはり物足りないかなあ。', 'リピート: 返す（リピートする）': '中級店でこれだけレベルの高い娘がこれだけのサービスをしてくれたのは正直驚きでした。もう少し他店に気になる娘がいるので浮気をしますが、きっとるかちゃんに戻っくるでしょう。'}",https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-28086198/
ViVi,ソープランド,らら,https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-47749941/?lo=1,20,https://m.fuzoku-tokai.com/2023/12/07/post-14504/,"{'顔: 85.0': '可愛い寄りの美人さんだと思います。特に笑顔が可愛いです。', 'スタイル: 75': 'スタイルいいと思います。鍛えている感はありません。', 'カップ: Ｃカップ': 'やや小ぶりなCって感じ。色は薄くきれいなイメージです', 'パネル差: 10': 'ぼかしありますが、概ねイメージどおりです', 'プレイ: 85': 'テクニックはまだまだですが、あそこの締まりが良いです。全体的には受けなイメージ。騎乗位、正常位、バックで1回、正常位で2回目。お話が楽しく3回はやめておきました。', '総合: 85': '明るく、友達みたいに接してくれるところや、無邪気なところが良かったです。プレイも受けならそつなくこなしてくれますし、感度も良かったので、優しくせめてもらえる人なら満足できると思います。', 'リピート: 返す（リピートする）': 'とにかくはまりました。笑顔と性格の良さ、あそこの締まりはなかなか良いです。'}",https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-47749941/?lo=1
ViVi,ソープランド,せいな,https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-42902925/,29,https://m.fuzoku-tokai.com/2023/06/28/post-14085/,"{'顔: 90.0': 'とても美人でかわいい。芸能人で誰かに似ているのですが思い出せない。', 'スタイル: 80': 'ちょうど良いスタイル。ガリガリではなく太ってもいないのでスタイルはよかった。', 'カップ: Ｄカップ': '胸は美乳で、柔らかく触っていてとても心地よく反応がとてもよい。', 'パネル差: 20': 'パネル顔出しはしていないが期待通り当たり。', 'プレイ: 100': 'ベットもマットもテクニックもDＫも全て高級店レベル。', '総合: 95': '昨年夏頃に高級店から移籍して来てヘブンネットの予約チャレンジしていましたが予約する前から完売続きで実は存在していないのでは？と思うくらい今まで一度も空きを見た事なかったので今回ヘブンネットの予約出来て初めて入りましたがリピーターでずっと完売の理由が分かりました。', 'リピート: 返す（リピートする）': 'とても良嬢。ずっと完売続きのナンバー1嬢。外れなし。'}",https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-42902925/
ViVi,ソープランド,SAYA（さや）,https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-25733003/,24,https://m.fuzoku-tokai.com/2020/02/11/post-10763/,"{'顔: 80.0': '面長です。正直viviでトップクラスに可愛いとは思いません。ですが常にニコニコしていて愛嬌による補正がかかるため雰囲気が美人だと思います。', 'スタイル: 50': '細い。細すぎる。ほとんど骨。スレンダーな子が好きな方なら大丈夫でしょう。', 'カップ: Ｂカップ': '小さいです。ですが、貧乳好きな方なら大丈夫ですよ。', 'パネル差: 0': 'そもそも顔出ししていないため。', 'プレイ: 80': '特筆すべきテクはありませんが、とにかくイチャイチャに付き合ってくれます。viviで恋人系の接客を求めるなら彼女以外考えられません。', '総合: 90': '店舗やスタッフの対応、嬢の性格は問題なく100点なのですが、胸の小ささでマイナス10点で90点とさせていただきます。', 'リピート: 返す（リピートする）': '風俗では恋人系の接客を求めているので。'}",https://www.cityheaven.net/gifu/A2101/A210101/vivi_g/girlid-25733003/
aQua（アクア）,ソープランド,こと,https://www.k-aqua-jpn.com/girls_detail?id=59023491,24,https://m.fuzoku-tokai.com/2025/11/08/post-15767/,"{'顔: 70.0': '瞳が大きく、写メ日記の写真の雰囲気そのまま。\n\n                        表情は性格がおっとりしているので、愛嬌溢れる顔立ちの印象。', 'スタイル: 100': '色白美肌、天然の美しい爆乳、クビレが素晴らしいので、攻めもプレイの最中も絶景で大満足！', 'カップ: それ以上カップ': 'とにかく、とても大きな美しい天然爆乳です。柔らかさも満点でマシュマロです。たまりません！', 'パネル差: 60': 'パネル、写メ日記そのままではないですが、瞳が大きいところがとても印象的。仲良くなると表情豊かになり、気にならなくなる。', 'プレイ: 90': '久しぶりのエロすぎ嬢との対戦で大満足！マシュマロ爆乳だけにパイズリをお願いすれば良かった。とにかく、感度は感動ものでヤバすぎて、どのお客さんもビックリでしょう。', '総合: 90': 'とにかく、エロいカラダのみならず、エロすぎる感度に感動！何と言っても、その美しい天然爆乳、奇跡のクビレが素晴らしい！また、聞き上手で話題豊富で楽しい！', 'リピート: 返す（リピートする）': '星の数ほど遊んできましたが、とても良かったので、新たなオキニにします。'}",https://www.cityheaven.net/gifu/A2101/A210101/aqua/girlid-59023491/
aQua（アクア）,ソープランド,ひなた,https://www.k-aqua-jpn.com/girls_detail?id=61504415,23,https://m.fuzoku-tokai.com/2025/09/28/post-15684/,"{'顔: 70.0': '普通にかわいいです。見た目以上に雰囲気がかわいいって思えるくらい笑顔がいいです。', 'スタイル: 70': 'スレンダー寄りくらいの女性らしいやわらかボディで肌もスベスベなので、触り心地抱き心地最高です。', 'カップ: Ｇカップ': 'きれいな胸で、垂れることなく重力に逆らってツンと上を向いてます。', 'パネル差: 20': 'パネルや日記よりは少しふっくらしてる印象ですが、逆にそこがかわいいです。', 'プレイ: 80': 'メインは吉原と聞いて入りました。基礎スキルがしっかりとしていて、お客さまに喜んで貰おうという気持ちが感じるプレイでした。', '総合: 100': 'もちろんスキルもありますが、この嬢の良さは親しみやすさと愛嬌とホスピタリティだと思います。満足度は非常に高いです。', 'リピート: 返す（リピートする）': 'また、岐阜に来てくれることがあればぜひお願いしたいです。'}",https://www.cityheaven.net/oita/A4403/A440301/aqua/girlid-39654130/
aQua（アクア）,ソープランド,望叶（みかな）,https://www.k-aqua-jpn.com/girls_detail?id=51533030,24,https://m.fuzoku-tokai.com/2025/09/21/post-15668/,"{'顔: 80.0': '個人的にはタイプだったが、好みは分かれそう。少しキツめの印象。', 'スタイル: 90': '申し分ない。出るとこは出てて、引っ込むところは引っ込んでいる。体だけで興奮する。', 'カップ: Ｆカップ': '大きい。形もよい。体のくびれに対してのインパクトがすごい。', 'パネル差: 0': 'パネルや日記の写真からは顔がわからないので不明。', 'プレイ: 90': 'プレイは至って普通。ただ、あのスタイルの女の子を抱いてると思うだけで興奮する。', '総合: 80': '顔よし。スタイル抜群。プレイは普通（向こうのペース）。予約が困難な理由がよく分かった。', 'リピート: 返す（リピートする）': 'また予約が取れればリピートしたい。プレミアチケットみたいな感じ。'}",https://www.cityheaven.net/gifu/A2101/A210101/aqua/girlid-51533030/
aQua（アクア）,ソープランド,のの,https://www.k-aqua-jpn.com/girls_detail?id=55800634,22,https://m.fuzoku-tokai.com/2024/11/28/post-15206/,"{'顔: 75.0': 'やや幼い感じで可愛らしい、面長なのであまり小顔も見えないが、小顔の部類だと思う。', 'スタイル: 85': 'スレンダーだが、出るとこは出てくびれもあり、足は長くスタイルはいいと思う。', 'カップ: Ｄカップ': 'スレンダーな体に大きめの胸で、触り心地が良い。おっぱい好きはたまらないと思う。', 'パネル差: 25': '写真は綺麗系のお姉さんだが、実際は幼い感じで可愛らしい。', 'プレイ: 75': '性格的に積極的ではないが、こちらの要求にも答えてくれて、不満のない内容だった。フェラは個人的にはかなり気持ちよかよく堪能できた。', '総合: 80': 'お顔も可愛く、スレンダーなスタイルながら出るとこは出てくびれもあり申し分なかった。プレイについても気持ちのいいフェラも堪能でき、しっかり発射できた。乾燥肌なのか、肌が荒れていたが、そこまで気にならなかった。', 'リピート: 返す（リピートする）': 'スタイルも良く巨乳でマットもできるとのことなので、次はマットを楽しみたい。'}",https://www.cityheaven.net/gifu/A2101/A210101/aqua/girlid-55800634/
